ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
epices-baies-roses,épices baies roses,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
graisse-pr-friture-vegetale,graisse pr friture végétale,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
margarine-cuire-et-rotir,margarine cuire et rôtir,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
margarine-cuire-rotir,margarine cuire&rôtir,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
margarine-cuire-rotir,margarine cuire&rôtir,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
couscous,couscous,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-fluide-ble,farine fluide blé,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-patisserie,farine pâtisserie,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-pain-blanc,farine pain blanc,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
mix-pour-crepes,mix pour crêpes,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
fecule-pommes-de-terre,fécule pommes de terre,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-patisserie-ble,farine pâtisserie blé,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-pain-blanc,farine pain blanc,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
farine-ble-t110,farine blé T110,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
levure-seche-instant,levure seche instant,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
levure-instant,levure instant,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
fecule-mais,fécule maïs,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
liant-blanche,liant blanche,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
liant-blanche,liant blanche,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
liant-brune,liant brune,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
liant-mais,liant maïs,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
poudre-lever-backin,poudre lever Backin,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-12T23:58:23.610931Z
puree-en-flocons,Purée en flocons,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
fruit-n-fibre,Fruit'n Fibre,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
variety-minipacks-8pc,Variety Minipacks 8pc,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
pudding-powder-vanille,pudding powder vanille,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
pudding-caramel,pudding caramel,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
pudding-fraise,pudding fraise,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
pudding-vanille,pudding vanille,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
mousse-fouettee-sachets,mousse fouettée sachets,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
arome-amandes,arôme amandes,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
arome-vanille,arôme vanille,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
sucre-vanille,sucre vanille,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
sucre-vanille-bourbon,sucre vanille bourbon,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
riz-jasmin-thai,riz jasmin thaï,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
riz-basmati,riz basmati,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
riz-long-grain,riz long grain,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-12T23:59:01.917568Z
