ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
epices-baies-roses,épices baies roses,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
graisse-pr-friture-vegetale,graisse pr friture végétale,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
margarine-cuire-et-rotir,margarine cuire et rôtir,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
margarine-cuire-rotir,margarine cuire&rôtir,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
couscous,couscous,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
farine-fluide-ble,farine fluide blé,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
farine-patisserie,farine pâtisserie,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
farine-pain-blanc,farine pain blanc,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
mix-pour-crepes,mix pour crêpes,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
fecule-pommes-de-terre,fécule pommes de terre,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
farine-patisserie-ble,farine pâtisserie blé,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
farine-ble-t110,farine blé T110,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
levure-seche-instant,levure seche instant,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
levure-instant,levure instant,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
fecule-mais,fécule maïs,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
liant-blanche,liant blanche,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
liant-brune,liant brune,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
liant-mais,liant maïs,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
poudre-lever-backin,poudre lever Backin,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
puree-en-flocons,Purée en flocons,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
fruit-n-fibre,Fruit'n Fibre,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=1,2025-09-13T06:27:52.968437Z
variety-minipacks-8pc,Variety Minipacks 8pc,COLRUYT,,EUR,,,FALSE,,,https://www.colruyt.lu/fr-lu/produits?page=2,2025-09-13T06:28:32.287351Z
