UID,EAN,Nome,Marca,Rayon,SousRayon,Tamanho,Imagem,Fonte,ScoreInicial
beurre-rose,,Beurre rose,,,,,https://www.delhaize.lu/fr/file/25085.promo-home-std/4c8a59b3de00a08c97b04641123cea5c/25_s38_pushs_website-03.png,DELHAIZE,5.0
biscuits,,Biscuits,,,,,https://www.delhaize.lu/fr/file/25086.promo-home-std/e82e051da2ad43e8f4dbec01fa8e886f/25_s38_pushs_website-04.png,DELHAIZE,5.0
queues-de-crevettes,,Queues de crevettes,,,,,https://www.delhaize.lu/fr/file/25084.promo-home-std/7165371b8811e8eeeb55bcaf8d904935/25_s38_pushs_website-02.png,DELHAIZE,5.0
yaourt-style-islandais,,Yaourt style islandais,,,,,https://www.delhaize.lu/fr/file/25082.promo-home-std/094ea9fca75fbb755fa0e0b0b385875c/25_s38_pushs_website-01.png,DELHAIZE,5.0
3274080005003,3274080005003,Eau De Source,Cristaline,Boissons,Gama,1500 ml,https://images.openfoodfacts.org/images/products/327/408/000/5003/front_en.797.400.jpg,OFF,12.591
7622210449283,7622210449283,Prince Goût Chocolat,Lu,Boissons,Gama,300 g,https://images.openfoodfacts.org/images/products/762/221/044/9283/front_en.605.400.jpg,OFF,11.996
3017620425035,3017620425035,Nutella,Ferrero,Épicerie salée,Gama,1 kg,https://images.openfoodfacts.org/images/products/301/762/042/5035/front_en.583.400.jpg,OFF,11.907
3268840001008,3268840001008,CRISTALINE Eau De Source 0.5L,Cristaline,Boissons,Gama,500 ml,https://images.openfoodfacts.org/images/products/326/884/000/1008/front_fr.422.400.jpg,OFF,11.64
3017620422003,3017620422003,Nutella,Ferrero,Épicerie salée,Gama,400 g,https://images.openfoodfacts.org/images/products/301/762/042/2003/front_en.633.400.jpg,OFF,11.645
5411188112709,5411188112709,Geröstete Mandel Ohne Zucker,Alpro,Épicerie salée,Gama,1 l,https://images.openfoodfacts.org/images/products/541/118/811/2709/front_en.720.400.jpg,OFF,11.687
3057640257773,3057640257773,Eau Minérale Naturelle,Volvic,Boissons,Gama,"1,5 L",https://images.openfoodfacts.org/images/products/305/764/025/7773/front_en.302.400.jpg,OFF,11.324
3229820100234,3229820100234,Fourrés Chocolat Noir,Bjorg,Boissons,Gama,225 g,https://images.openfoodfacts.org/images/products/322/982/010/0234/front_fr.246.400.jpg,OFF,11.293
3168930010265,3168930010265,cruesly mélange de noix,Quaker,Épicerie salée,Gama,450 g,https://images.openfoodfacts.org/images/products/316/893/001/0265/front_en.206.400.jpg,OFF,11.142
5410041001204,5410041001204,Original,LU,Épicerie salée,Gama,100g,https://images.openfoodfacts.org/images/products/541/004/100/1204/front_en.520.400.jpg,OFF,11.174
8002270014901,8002270014901,S. Pellegrino Water,Nestlé,Épicerie salée,Gama,1 L,https://images.openfoodfacts.org/images/products/800/227/001/4901/front_en.304.400.jpg,OFF,11.12
06175700,06175700,Tartines craquantes au sarrasin imp,Ekibio,Bio,Gama,160 g,https://images.openfoodfacts.org/images/products/000/000/617/5700/front_fr.90.400.jpg,OFF,11.105
